"Timestamp","Qual a sua idade","Qual a sua profissão?","Sua profissão está diretamente ligada às plantas medicinais?","Você pesquisa sobre plantas medicinais para uso profissional ou pessoal?","Com que frequência você faz pesquisas sobre plantas medicinais?","Quanto tempo costuma levar com cada pesquisa?","Em quais meios você costuma buscar informações?","Quais informações você costuma pesquisar?","Quais são as principais dificuldades que você encontra quando faz a pesquisa?"
"2017/10/07 6:17:27 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Apenas pessoal","Uma vez por semana","Menos de 15 minutos","Blogs sobre o tema","Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/07 6:43:22 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 7:33:48 PM GMT-3","Entre 25 e 32 anos","estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 7:36:23 PM GMT-3","Entre 18 e 24 anos","Estudante ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema","Identificação das plantas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 7:41:38 PM GMT-3","Entre 18 e 24 anos","Historiadora e professora.","Não","Apenas pessoal","Uma vez por semana","Mais de uma hora e meia","Grupos de discussão em redes sociais;Grupos de discussão por e-mail;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 7:54:34 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 7:58:33 PM GMT-3","Entre 18 e 24 anos","Suqueira","Não","Apenas pessoal","Cerca de três vezes por semana","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;propriedades","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/07 8:50:29 PM GMT-3","Menos de 18 anos","Estudante ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 8:57:46 PM GMT-3","Entre 41 e 55 anos","psicologa","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas","Identificar corretamente as plantas"
"2017/10/07 9:24:41 PM GMT-3","Menos de 18 anos","Estudante","Não","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
